Date,Open,High,Low,Close,Adj Close,Volume
2021-06-25,115.551949,118.441559,114.675323,116.720779,113.934616,18979753
2021-06-28,117.532471,123.441559,116.090912,121.980522,119.068802,26558297
2021-06-29,122.694801,122.694801,119.870132,120.227272,117.357399,16737850
2021-06-30,120.655846,121.428574,118.519478,121.253242,118.358887,12298262
2021-07-01,122.077919,123.733765,120.129868,123.201302,120.260445,21656648
2021-07-02,121.818184,121.863632,116.558441,117.792206,114.980461,20576360
2021-07-05,117.149353,117.402596,112.831169,115.844154,113.078911,20506145
2021-07-06,115.779221,115.779221,109.753242,111.694801,109.028610,23779922
2021-07-07,111.818184,115.909088,111.090912,115.629868,112.869751,19111088
2021-07-08,116.233765,119.564934,113.642860,118.214287,115.392471,19999973
2021-07-09,115.974022,117.727272,112.785713,113.655846,110.942841,16726069
2021-07-12,114.805191,116.623375,110.441559,115.571426,112.812691,20810471
2021-07-13,115.571426,119.129868,112.987015,118.038963,115.221329,21646363
2021-07-14,117.532471,125.701302,116.883118,121.954544,119.043449,34686291
2021-07-15,121.740257,122.623375,119.383118,122.077919,119.163879,15711295
2021-07-16,120.785713,124.201302,119.792206,121.103897,118.213104,14997872
2021-07-19,124.025970,126.623375,122.532471,125.448051,122.453560,24017798
2021-07-20,127.272728,130.389603,124.233765,126.058441,123.049377,24154755
2021-07-21,126.025970,128.194809,123.766235,127.500000,124.456528,20420022
2021-07-22,125.396103,126.149353,115.909088,118.110390,115.291054,40060977
2021-07-23,116.883118,116.883118,110.448051,111.103897,108.451805,34602283
2021-07-26,110.389610,110.454544,98.519478,101.428574,99.007439,40914442
2021-07-27,101.428574,103.246750,96.103897,96.259743,93.961990,31739307
2021-07-28,95.805191,99.032471,93.935066,98.701302,96.345268,25108609
2021-07-29,101.298698,102.519478,98.772728,101.006493,98.595436,21883774
2021-07-30,99.350647,103.636360,96.103897,102.525970,100.078636,26370097
2021-08-02,102.525970,103.564934,95.454544,100.344154,97.948906,26577320
2021-08-03,99.220779,113.636360,98.441559,113.577919,110.866776,45468657
2021-08-04,115.584412,115.941559,110.064934,113.896103,111.177361,32375349
2021-08-05,113.896103,118.805191,111.818184,115.084412,112.337303,27581828
