Date,Close/Last,Volume,Open,High,Low
08/18/2022,$147.61,1414102,$151.72,$152.17,$146.71
08/17/2022,$152.04,1133363,$157.25,$159.14,$150.4501
08/16/2022,$160.37,718663,$162.29,$165.42,$158.23
08/15/2022,$162.48,608803,$162.00,$163.73,$160.41
08/12/2022,$160.35,500878,$160.50,$161.60,$158.58
08/11/2022,$158.59,654188,$161.32,$165.83,$158.48
08/10/2022,$160.92,1168514,$162.24,$162.30,$156.62
08/09/2022,$157.21,1766218,$164.04,$167.44,$156.825
08/08/2022,$169.30,3613094,$167.00,$170.93,$162.24
08/05/2022,$183.11,1579757,$179.63,$185.09,$177.63
08/04/2022,$180.44,992408,$177.50,$180.88,$174.34
08/03/2022,$178.23,1932183,$168.74,$179.00,$168.74
08/02/2022,$165.77,640769,$161.38,$166.20,$161.01
08/01/2022,$163.48,746310,$163.59,$169.84,$163.05
07/29/2022,$165.15,587216,$164.25,$165.81,$161.07
07/28/2022,$164.92,1082246,$157.98,$165.11,$154.04
07/27/2022,$155.88,852659,$159.51,$159.51,$153.87
07/26/2022,$159.72,431158,$160.24,$162.35,$157.33
07/25/2022,$162.37,404781,$161.75,$163.35,$159.17
07/22/2022,$160.16,618741,$164.12,$166.53,$159.245
07/21/2022,$165.87,654108,$164.46,$169.74,$162.875
07/20/2022,$164.08,465993,$164.47,$167.6699,$161.77
07/19/2022,$164.73,516480,$162.73,$165.50,$160.00
07/18/2022,$161.03,678393,$163.00,$165.00,$159.52
07/15/2022,$161.44,669319,$155.58,$161.545,$153.83
07/14/2022,$154.46,1083389,$164.68,$164.68,$154.44
07/13/2022,$166.62,949391,$161.04,$169.95,$160.02
07/12/2022,$161.42,750231,$164.69,$165.989,$160.42
07/11/2022,$166.47,886485,$167.95,$171.4228,$166.08
07/08/2022,$170.13,861088,$165.50,$172.75,$165.50
07/07/2022,$167.97,1100134,$159.93,$169.39,$159.34
07/06/2022,$160.20,867227,$157.06,$160.66,$155.25
07/05/2022,$161.03,1651658,$151.37,$162.82,$151.08
07/01/2022,$157.50,1335180,$148.00,$157.50,$147.20
06/30/2022,$149.10,2495583,$146.525,$153.80,$142.10
06/29/2022,$141.98,1054370,$139.64,$143.25,$137.01
06/28/2022,$139.82,903276,$141.21,$144.368,$138.91
06/27/2022,$143.71,1870605,$140.24,$144.2799,$138.08
06/24/2022,$134.04,1020193,$133.00,$134.285,$129.22
06/23/2022,$132.29,1039026,$123.66,$132.87,$122.69
06/22/2022,$123.66,1971091,$122.00,$127.27,$117.08
06/21/2022,$123.25,2106315,$130.20,$131.02,$122.39
06/17/2022,$125.14,2202420,$130.20,$131.50,$125.07
06/16/2022,$129.15,1323003,$134.78,$134.78,$126.62
06/15/2022,$137.99,1453440,$135.84,$139.47,$133.68
06/14/2022,$134.82,832564,$135.59,$138.85,$132.81
06/13/2022,$133.62,997117,$140.00,$142.64,$133.41
06/10/2022,$143.85,1171602,$148.20,$150.185,$140.16
06/09/2022,$149.27,1141122,$161.91,$162.15,$149.18
06/08/2022,$161.73,870889,$159.28,$163.73,$158.73
